,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INVENTARIO FUNCION/AL DE EQUIPO MÉDICO*
* Se deberá adjuntar PROGRAMA DE MANTENIMIENTO PREVENTIVO  y su SEGUIMIENTO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN DE LA UNIDAD,,,,,UBICACIÓN,,,,DATOS DEL EQUIPO,,,,,,,,,DATOS DEL ESTADO ACTUAL DEL EQUIPO,,,,,DATOS DEL MANTENIMIENTO,,,,,,,,,,,,,,,,,,,,,,,,,,VIGENCIA DE LA PÓLIZA    (dd/mm/aaaa),,CONTRATO,,,,,,,,,,,,,,,,,,OBSERVACIONES
0,No. DE INVENTARIO,NUEVA CLUE,CLUES,UNIDAD MÉDICA,ESPECIALIDAD/ÁREA DEL HOSPITAL,UBICACIÓN ESPECÍFICA,CLUES EN PRÉSTAMO,UNIDAD EN PRÉSTAMO,CLAVE DE CUADRO BÁSICO CSG,EQUIPO,**EQUIPO(EN CASO DE NO ENCONTRARLO EN EL LISTADO),*CLAVE DE CUADRO BÁSICO CSG((EN CASO DE NO ENCONTRARLO EN EL LISTADO)),MARCA,MODELO,NÚMERO DE SERIE,"PROPIEDAD DEL EQUIPO (PROPIO, COMODATO, ARRENDAMIENTO, SERVICIO INTEGRAL)","En caso de haber seleccioN/Ado ""Otro"" favor de especificar",CONDICIONES DEL EQUIPO,"ESTATUS DEL EQUIPO 
(EN FUNCION/AMIENTO COMPLETO/
FUNCION/A PARCIALMENTE/
FUERA DE SERVICIO)",CAUSA DE NO FUNCION/AMIENTO,FECHA DE ADQUISICIÓN/INSTALACION,FECHA DE FABRICACIÓN (AÑO),REQUERIMIENTOS Y NECESIDADES ACTUALES DEL EQUIPO ,REFACCIONES O CONSUMIBLES NECESARIOS,,,,,,,,CANTIDAD,,,,,,,,FRECUENCIA DE MANTENIMIENTO,MANTENIMIENTO PREVENTIVO (INTERNO/EXTERNO),"CONTRATO DE MANTENIMIENTO EXTERNO
(Indicar MP o MP/MC) ","CUENTA CON CARTA DE FIN DE VIDA ÚTIL (EOL) O FIN DE SOPORTE TÉCNICO POR PARTE DEL FABRICANTE? 
INDICAR FECHA EOL",GARANTÍA (SI/NO),FIN DE GARANTÍA,CONTRATO (SI/NO),No. DE CONTRATO,PROVEEDOR DEL SERVICIO DE MANTENIMIENTO EXTERNO,Fecha de inicio de la Poliza (dd/mm/aaaa),Fecha de termiN/Ación de la Poliza (dd/mm/aaaa), COSTO DE CONTRATO,CANTIDAD DE MP AL AÑO,COSTO POR MP,COSTO ANUAL TOTAL MP,ÚLTIMO MP,SIGUIENTE MP,CALENDARIO DE PROGRAMA ANUAL DE MANTENIMIENTO PREVENTIVO,,,,,,,,,,,,Observaciones
1,F-542,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,CIRUGÍA GENERAL,ACCESOS VASCULARES,N/A,N/A,531.172.0014,DESFIBRILADOR MONITOR MARCAPASO,N/A,N/A,PHILIPS,EFFICIA DFM100,MLE221003-171/CN32670804,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,44866,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,SENSOR SPO2,CABLE Y BRAZALETE PARA PNI,CABLE ECG,GEL CONDUCTOR,PARCHE PARA MARCAPASOS,BATERIAS,PAPEL TERMICO,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,1,1,1,1,1,1,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,45597,SI,LA-E44-EMLIMSLP-INSABI-20-2022,"HEALTHCARE SYSTEMS DDE MEXICO, S.A. DE C. V.",44866,45597,N/A,2,NA,NA,45433,45597,45787,45977,,,,,,,,,,,
2,F-06110,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,ALMACÉN DE ACTIVO FIJO,ACTIVO FIJO ALMACEN,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F61174,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIAS,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,45717,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,44986,45717,N/A,2,NA,NA,45175,45352,45542,45732,,,,,,,,,,,
3,F-06113,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,ALMACÉN DE ACTIVO FIJO,ACTIVO FIJO ALMACEN,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60929,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIA,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,1/3/2025,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,1/3/2023,1/3/2025, N/A,2,NA,NA,06-09-2023,mar-2024,sep-2024,mar-2025,,,,,,,,,,,
4,F-06115,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,ALMACÉN DE ACTIVO FIJO,ACTIVO FIJO ALMACEN,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60931,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIA,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,1/3/2025,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,1/3/2023,1/3/2025, N/A,2,NA,NA,06-09-2023,mar-2024,sep-2024,mar-2025,,,,,,,,,,,
5,F-06119,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,QUEMADOS,QUEMADOS,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60935,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIA,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,1/3/2025,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,1/3/2023,1/3/2025, N/A,2,NA,NA,06-09-2023,mar-2024,sep-2024,mar-2025,,,,,,,,,,,
6,F-06130,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,ALMACÉN DE ACTIVO FIJO,ACTIVO FIJO ALMACEN,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60946,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2016,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIA,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,1/3/2025,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,1/3/2023,1/3/2025, N/A,2,NA,NA,06-09-2023,mar-2024,sep-2024,mar-2025,,,,,,,,,,,
7,F-06135,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,PRESTAMO,HOSPITAL DEL NIÑO Y LA MUJER,SPSSA017301,HOSPITAL DEL NIÑO Y LA MUJER DR. ALBERTO LÓPEZ HERMOSA,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60951,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,2022,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,BATERIA,COLCHON,SEGUROS BARANDAL,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,,1,1,1,1,,,,,CADA 6 MESES,EXTERNO,MC/MP,NO,SI,1/4/2025,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,1/4/2023,1/4/2025, N/A,2,NA,NA,06-09-2023,abr-2024,oct-2024,abr-2025,,,,,,,,,,,
8,F-06110,SPIMB002574,ISPSSA001102,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DR. IGNACIO MORONES PRIETO,ALMACÉN DE ACTIVO FIJO,ACTIVO FIJO ALMACEN,N/A,N/A,513.164.0202,CAMA PEDIATRICA,N/A,N/A,STRYKER,CUB,F60926,PROPIO,N/A,BUENO,FUNCIONAMIENTO COMPLETO,N/A,SIN DATO,2022,CONSUMIBLES Y/O ACCESORIOS Y MANTENIMIENTO Y/O REFACCIONES,CONTROL BOX,RUEDAS,CAMARA COLCHON/ MOTOR,BATERIAS,POLIZA ANUAL DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO ILIMITADO CON REFACCIONES,,,,1,1,1,1,,,,,CADA 12 MESES,EXTERNO,MC/MP,NO,SI,NA,SI,LA-E44-EMLIMSPL-INSABI-33-2022,POLAR HOSPITALARIA S.A. DE C.V,N/A,N/A, N/A,1,NA,NA,N/A,N/A,N/A,N/A,,,,,,,,,,,
